index,sample,fpl,SWB_2,FWBscore,FWB1_1,FWB1_2,FWB1_5,FWB2_3,FSscore,MANAGE1_1,MANAGE1_2,MANAGE1_3,SAVEHABIT,ENDSMEET,HOUSING,HOUSERANGES,MORTGAGE,SAVINGSRANGES,PRODHAVE_1,PRODHAVE_2,PRODHAVE_3,PRODHAVE_5,PRODUSE_1,VOLATILITY,MATHARDSHIP_3,COLLECT,REJECTED_1,SHOCKS_8,MATERIALISM_3,HEALTH,PPEDUC,EMPLOY,agecat,generation,PPETHM,PPGENDER,PPINCIMP,PPMARIT,Util_cutoff_no_pay,Property taxes Mean,Mortgage interest and charges Mean,"Utilities, fuels, and public services Mean",Telephone services Mean,"Residential phone service, VOIP, and phone cards Mean",Cellular phone service Mean,Health insurance Mean,Education Mean
132,2,4,6,49,3,3,4,4,40,5,5,4,5,3,2,3,3,5,2,1,2,1,1,2,2,1,1,1,4,3,2,9,9,2,5,3,4,4,2,1545,2558,4092,1413,197,1216,3444,1143
135,2,4,3,45,4,3,4,4,34,6,6,5,3,3,2,4,3,4,2,2,2,1,1,2,2,1,1,1,5,3,4,3,5,3,2,2,7,2,2,2206,2286,3943,1332,197,1134,3669,1107
137,3,4,7,64,5,4,4,2,57,6,6,6,6,2,2,2,2,6,2,1,1,1,1,3,2,1,1,1,2,6,5,9,8,2,2,3,5,2,2,1545,2558,4092,1413,197,1216,3444,1143
138,2,4,7,53,4,5,5,3,59,6,5,4,4,2,2,8,4,6,2,2,2,2,1,2,2,1,2,1,3,6,6,2,5,4,2,2,9,6,2,3687,2754,4249,1438,289,1149,3566,2370
139,2,4,8,80,6,6,2,2,68,6,6,6,7,2,2,2,2,7,2,2,2,2,1,2,2,1,1,1,2,4,5,9,6,3,2,2,8,2,2,1545,2558,4092,1413,197,1216,3444,1143
140,2,4,6,60,5,3,3,3,54,6,5,6,6,3,2,2,2,6,2,1,1,2,1,2,2,1,1,1,3,3,6,9,9,2,2,2,9,2,2,1545,2558,4092,1413,197,1216,3444,1143
141,2,4,8,80,6,6,2,2,83,6,5,6,7,2,2,7,4,6,2,2,2,1,1,2,2,1,1,1,4,6,5,3,3,5,2,2,10,2,2,3687,2754,4249,1438,289,1149,3566,2370
142,3,4,7,55,3,3,3,3,51,6,4,6,7,2,2,6,3,6,2,1,2,1,1,2,2,1,1,1,4,5,5,9,7,3,2,3,7,4,2,2055,3598,3932,1450,161,1289,3236,1469
143,2,4,5,58,4,4,5,2,43,6,5,2,4,3,2,6,2,6,2,2,2,1,1,2,2,1,1,1,3,5,3,9,9,2,2,3,5,3,2,3687,2754,4249,1438,289,1149,3566,2370
145,3,4,8,85,6,6,2,2,77,6,6,6,7,2,2,8,100,8,2,1,2,2,1,2,2,1,1,1,3,6,6,9,8,2,2,2,8,2,2,2055,3598,3932,1450,161,1289,3236,1469
146,3,3,3,27,2,4,6,6,39,5,4,2,3,4,2,4,3,3,2,1,1,1,1,4,2,1,1,1,3,3,3,9,7,3,2,2,3,2,2,2055,3598,3932,1450,161,1289,3236,1469
147,2,4,7,79,5,6,2,2,47,6,6,6,4,2,2,100,100,5,2,1,2,1,1,3,2,1,1,1,2,5,2,9,9,2,2,3,3,3,2,2206,2286,3943,1332,197,1134,3669,1107
150,2,4,7,60,5,5,3,3,64,6,6,6,7,2,2,6,3,5,2,2,2,1,1,2,2,1,1,1,4,5,6,3,4,4,2,2,9,2,2,2206,2286,3943,1332,197,1134,3669,1107
151,2,4,7,50,4,5,5,4,50,6,5,4,6,2,2,3,2,5,2,2,2,2,1,2,2,1,1,1,3,4,4,9,8,2,2,2,4,2,2,1545,2558,4092,1413,197,1216,3444,1143
153,2,4,6,54,5,5,3,3,47,6,5,6,7,2,2,2,4,5,1,1,1,2,1,2,2,1,1,1,5,3,3,3,5,4,2,2,9,2,2,2206,2286,3943,1332,197,1134,3669,1107
154,2,4,5,53,3,4,4,3,42,6,6,6,5,2,2,0,0,100,1,1,2,2,1,2,2,1,1,1,4,5,3,5,9,2,2,3,4,2,2,1545,2558,4092,1413,197,1216,3444,1143
155,2,4,6,48,4,4,5,4,48,5,4,3,5,3,2,7,4,7,2,1,2,1,1,2,2,1,1,1,2,5,6,3,4,4,2,3,9,2,2,2055,3598,3932,1450,161,1289,3236,1469
156,3,4,7,63,5,2,3,3,45,6,5,6,5,2,2,2,2,7,2,1,2,1,1,2,2,1,1,1,2,5,3,9,9,2,2,3,7,2,2,1545,2558,4092,1413,197,1216,3444,1143
157,2,4,7,60,5,5,3,3,50,6,5,6,7,2,2,2,2,99,2,2,2,1,1,2,2,1,1,1,3,3,2,9,8,3,2,3,5,2,2,1545,2558,4092,1413,197,1216,3444,1143
